Ostertagia.Rainfall,Ostertagia.m1,Cooperia.Rainfall,Cooperia.m1
1.90647,0.02634,1.89499,0.02264
1.93004,0.03046,1.91754,0.02486
7.35731,0.02689,7.37004,0.0239
7.35731,0.03144,7.37004,0.02889
7.37188,0.03612,7.38353,0.03572
12.79676,0.06734,12.79777,0.07688
12.85087,0.07841,12.82216,0.09322
12.80095,0.11002,12.80701,0.14581
12.80095,0.11942,12.87317,0.17562
12.83011,0.12748,12.84988,0.18105
12.77559,0.14176,12.7913,0.20334
29.10253,0.06238,29.15581,0.05866
29.11052,0.09941,29.14158,0.0956
29.11671,0.21854,29.1547,0.1975
29.09993,0.23568,29.21772,0.22633
29.13827,0.26561,29.15211,0.27557
40.01358,0.0801,40.03142,0.1165
40.02816,0.14125,40.02624,0.26523
40.04114,0.1741,40.06967,0.44225
39.94528,0.2066,40.00148,0.45148
40.01178,0.35,40.00148,0.48045
39.98922,0.47987,,
