Species,Temp,Day,Rep,Count,Proportion 
Ost,4,1,a,2,0.004
Ost,4,1,b,1,0.002
Ost,4,1,c,6,0.012
Ost,4,1,d,5,0.01
Ost,10,1,a,1,0.002
Ost,10,1,b,3,0.006
Ost,10,1,c,3,0.006
Ost,10,1,d,2,0.004
Ost,15,1,a,7,0.014
Ost,15,1,b,3,0.006
Ost,15,1,c,1,0.002
Ost,15,1,d,1,0.002
Ost,20,1,a,4,0.008
Ost,20,1,b,1,0.002
Ost,20,1,c,23,0.046
Ost,20,1,d,0,0
Ost,25,1,a,21,0.042
Ost,25,1,b,14,0.028
Ost,25,1,c,13,0.026
Ost,25,1,d,16,0.032
Ost,4,2,a,1,0.002
Ost,4,2,b,8,0.016
Ost,4,2,c,7,0.014
Ost,4,2,d,9,0.018
Ost,10,2,a,0,0
Ost,10,2,b,1,0.002
Ost,10,2,c,2,0.004
Ost,10,2,d,0,0
Ost,15,2,a,3,0.006
Ost,15,2,b,2,0.004
Ost,15,2,c,2,0.004
Ost,15,2,d,1,0.002
Ost,20,2,a,2,0.004
Ost,20,2,b,1,0.002
Ost,20,2,c,14,0.028
Ost,20,2,d,3,0.006
Ost,25,2,a,12,0.024
Ost,25,2,b,7,0.014
Ost,25,2,c,2,0.004
Ost,25,2,d,2,0.004
Coop,4,1,a,2,0.004
Coop,4,1,b,3,0.006
Coop,4,1,c,15,0.03
Coop,4,1,d,0,0
Coop,10,1,a,5,0.01
Coop,10,1,b,15,0.03
Coop,10,1,c,11,0.022
Coop,10,1,d,7,0.014
Coop,15,1,a,0,0
Coop,15,1,b,3,0.006
Coop,15,1,c,3,0.006
Coop,15,1,d,,0
Coop,20,1,a,8,0.016
Coop,20,1,b,6,0.012
Coop,20,1,c,33,0.066
Coop,20,1,d,13,0.026
Coop,25,1,a,16,0.032
Coop,25,1,b,21,0.042
Coop,25,1,c,9,0.018
Coop,25,1,d,18,0.036
Coop,4,2,a,8,0.016
Coop,4,2,b,20,0.04
Coop,4,2,c,25,0.05
Coop,4,2,d,26,0.052
Coop,10,2,a,19,0.038
Coop,10,2,b,2,0.004
Coop,10,2,c,1,0.002
Coop,10,2,d,1,0.002
Coop,15,2,a,3,0.006
Coop,15,2,b,0,0
Coop,15,2,c,0,0
Coop,15,2,d,4,0.008
Coop,20,2,a,1,0.002
Coop,20,2,b,8,0.016
Coop,20,2,c,15,0.03
Coop,20,2,d,8,0.016
Coop,25,2,a,41,0.082
Coop,25,2,b,6,0.012
Coop,25,2,c,11,0.022
Coop,25,2,d,7,0.014
